,categorie,motAnglais,traductionGoogle,traductionMaison,deuxiemeTraduction,troisiemeTraduction,quatriemeTraduction,francaisAsterisque,francaisAsterisque2,anglaisAsterisque,initiales,notes
813,social_welfare,food stamp,timbre alimentaire,coupon alimentaire,NA,NA,NA,coupon* alimentaire*,NA,food stamp*,CTA,
814,social_welfare,food assistance,assistance alimentaire,NA,NA,NA,NA,NA,NA,NA,CTA,
815,housing,apartment,appartement,NA,NA,NA,NA,appartement*,NA,apartment*,CTA,
816,housing,cmhc,cmhc,schl,NA,NA,NA,NA,NA,NA,CTA,
817,housing,community development,développement communautaire,NA,NA,NA,NA,NA,NA,NA,CTA,
818,housing,condo,condo,NA,NA,NA,NA,condo*,NA,condo*,CTA,
819,housing,condos,condos,NA,NA,NA,NA,NA,NA,NA,CTA,
820,housing,condominium,condominium,NA,NA,NA,NA,condominium*,NA,condominium*,CTA,
821,housing,home construction,construction de maison,NA,NA,NA,NA,construction* de maison*,NA,home construction*,CTA,construction de logement
822,housing,home insulation,isolation de la maison,NA,NA,NA,NA,NA,NA,NA,CTA,
823,housing,homeless,sans abri,NA,NA,NA,NA,sans abri*,NA,NA,CTA,sans logis
824,housing,housing,logement,NA,NA,NA,NA,logement*,NA,housing*,CTA,
825,housing,mortgage,hypothèque,NA,hypothécaire,NA,NA,hypoth*qu*,NA,mortgage*,CTA,hypoth*qu*?
826,housing,neighborhood development,développement de quartier,NA,NA,NA,NA,développement* de* quartier*,NA,neighborhood development*,CTA,
827,housing,neighbourhood development,développement de quartier,x,NA,NA,NA,NA,NA,neighbourhood development*,CTA,
828,housing,neighborhood preservation,préservation du quartier,NA,NA,NA,NA,préservation* de* quartier*,NA,NA,CTA,
829,housing,neighbourhood preservation,préservation du quartier,x,NA,NA,NA,NA,NA,NA,CTA,
830,housing,neighborhood revitalization,revitalisation de quartier,NA,NA,NA,NA,revitalisation* de* quartier*,NA,neighborhood revitalization*,CTA,
831,housing,neighbourhood revitalization,revitalisation de quartier,x,NA,NA,NA,NA,NA,neighbourhood revitalization*,CTA,
832,housing,real estate,immobilier,NA,NA,NA,NA,immobili*,NA,real estate*,CTA,
833,housing,rent control,contrôle de loyers,NA,NA,NA,NA,contrôl* des loyers,NA,rent control*,CTA,
834,housing,residential rehabilitation,réhabilitation résidentielle,programme d'aide à la remise en état des logements,NA,NA,NA,réhabilit* résiden*,NA,residen* rehabilitation*,CTA,
835,housing,rural development,développement rural,NA,NA,NA,NA,développement* rura*,NA,rural development*,CTA,
836,housing,urban decline,déclin urbain,NA,NA,NA,NA,déclin* urbain*,NA,urban decline*,CTA,
837,housing,urban development,développement urbain,NA,NA,NA,NA,développement* urbain*,NA,urban development*,CTA,
838,housing,urban enterprise zone,zone d'entreprise urbaine,zone franche urbaine,NA,NA,NA,zone* franche* urbaine*,NA,urban enterprise zone*,CTA,
839,housing,urban revitalization,revitalisation urbaine,NA,NA,NA,NA,revitalisation* urbain*,NA,urban revitaliz*,CTA,
840,housing,urban sprawl,l'étalement urbain,étalement urbain,NA,NA,NA,NA,NA,NA,CTA,urbanisation
841,finance,banks,banques,NA,NA,NA,NA,banque*,NA,bank*,CTA,
842,finance,banking,bancaire,NA,NA,NA,NA,bancaire*,NA,banking*,CTA,
843,finance,bankrupt,faillite,NA,banqueroute,NA,NA,faillite*,banqueroute*,bankrupt*,CTA,
844,finance,brokerage,courtage,NA,NA,NA,NA,courtage*,NA,brokerage*,CTA,
845,finance,checking account,compte courant,compte chèque,NA,NA,NA,compte* chèque*,NA,checking account*,CTA,
846,finance,chequing account,compte-chèques,x,NA,NA,NA,NA,NA,chequing account*,CTA,
847,finance,commerc,commercial,commerc,NA,NA,NA,commerc*,NA,commerc*,CTA,
848,finance,commodit,commodité,x,NA,NA,NA,NA,NA,commodit*,CTA,"denrée, ressource"
849,finance,credit card,carte de crédit,NA,NA,NA,NA,carte* de crédit,NA,credit card*,CTA,
850,finance,credit rating,cote de crédit,NA,NA,NA,NA,cote* de crédit,NA,credit rating*,CTA,note de crédit
851,finance,credit risk,le risque de crédit,risque de crédit ,NA,NA,NA,risque* de crédit ,NA,credit risk*,CTA,
852,finance,credit union,caisse,coopérative de crédit,NA,NA,NA,coopérative* de crédit,NA,credit union*,CTA,
853,finance,current account,compte courant,NA,NA,NA,NA,compte* courant*,NA,current account*,CTA,
854,finance,debit card,carte de débit,NA,NA,NA,NA,carte* de débit,NA,debit card*,CTA,
855,finance,dividend,dividende,NA,NA,NA,NA,dividend*,NA,dividende*,CTA,
856,finance,financ,financ,NA,NA,NA,NA,financ*,NA,financ*,CTA,
857,finance,hedge fund,fonds de couverture,NA,fonds spéculatif,NA,NA,fonds de couverture*,fonds spéculatif*,hedge fund*,CTA,
858,finance,home equity,l'équité de la maison,valeur nette du logement,NA,NA,NA,NA,NA,NA,CTA,
859,finance,investor,investisseur,NA,NA,NA,NA,investisseu*,NA,investor*,CTA,
860,finance,market,marché,NA,NA,NA,NA,marché*,NA,market*,CTA,
861,finance,mortgage,hypothèque,NA,hypothécaire,NA,NA,hypoth*qu*,NA,mortgage*,CTA,"hypoth*qu*?, prêt"
862,finance,mutual fund,fonds communs de placement,NA,NA,NA,NA,fonds commun* de placement,NA,mutual fund*,CTA,
863,finance,private equit,équité privée,capital privé,NA,NA,NA,capita* privé*,NA,private equit*,CTA,
864,finance,savings account,compte épargne,NA,compte d'épargne,NA,NA,compte* épargne,compte* d'épargne,savings account*,CTA,
865,finance,securities,titres,NA,NA,NA,NA,titre*,NA,securit*,CTA,
866,finance,sharehold,actionnariat,actionna,NA,NA,NA,actionna*,NA,sharehold*,CTA,détenteur d'actions
867,finance,stocks,les stocks,x,NA,NA,NA,NA,NA,stock*,CTA,
868,finance,subprime,subprime,à risque,NA,NA,NA,à risque*,NA,subprime*,CTA,
869,finance,treasury board,conseil du trésor,NA,NA,NA,NA,NA,NA,NA,CTA,
870,finance,bmo,bmo,NA,NA,NA,NA,NA,NA,NA,CTA,
871,finance,rbc,rbc,NA,NA,NA,NA,NA,NA,NA,CTA,
872,finance,cibc,cibc,NA,NA,NA,NA,NA,NA,NA,CTA,
873,finance,scotiabank,banque écossaise,banque scotia,NA,NA,NA,NA,NA,NA,CTA,
874,finance,td canada trust,TD Canada Trust,td canada trust,NA,NA,NA,NA,NA,NA,CTA,
875,finance,rrsp,rrsp,reer,NA,NA,NA,NA,NA,NA,CTA,
876,finance,NA,resp,reee,NA,NA,NA,NA,NA,NA,CTA,
877,finance,insurance industry,secteur de l'assurance,NA,industrie de l'assurance,NA,NA,NA,NA,insurance industr*,CTA,
878,finance,private insurance,Assurance privée,assurance privée,NA,NA,NA,assurance* privée*,NA,private insurance*,CTA,
879,finance,corporate,entreprise,NA,corporatif,NA,NA,entreprise*,corporati*,NA,CTA,
880,finance,corporation,société,NA,NA,NA,NA,société*,NA,corporation*,CTA,
881,finance,antitrust,antitrust,NA,NA,NA,NA,NA,NA,NA,CTA,"anti monopole, antimonopole"
882,finance,price fix,prix fixe,fix des prix,NA,NA,NA,fix* des prix,NA,price fix*,CTA,
883,finance,limited liabilit,responsab limitée,NA,NA,NA,NA,responsab* limitée*,NA,limited liabilit*,CTA,
884,finance,limited partner,partenaire limité,commanditaire,NA,NA,NA,commanditaire*,NA,limited partner*,CTA,
885,finance,small business,petite entreprise,NA,NA,NA,NA,petite* entreprise*,NA,small business*,CTA,
886,finance,NA,droits d'auteur,droit d'auteur,NA,NA,NA,droit* d'auteur*,NA,NA,CTA,
887,finance,copyleft,copyleft,NA,NA,NA,NA,NA,NA,NA,CTA,
888,finance,patent,brevet,NA,breveté,NA,NA,brevet*,NA,patent*,CTA,
889,finance,intellectual propert,propriété intellectuelle,NA,NA,NA,NA,propriété* intellectuelle*,NA,intellectual propert*,CTA,
890,finance,consumer safet,sécurité du consommateur,NA,NA,NA,NA,sécurité* d* consommatat*,NA,consumer* safet*,CTA,
891,finance,tsx,tsx,NA,NA,NA,NA,NA,NA,NA,CTA,
892,finance,NA,tse,x,NA,NA,NA,NA,NA,NA,CTA,
893,finance,rating agenc,agence de notation,agenc de notation,NA,NA,NA,agence* de notation,NA,rating* agenc*,CTA,
894,defence,air force,aviation,force aérienne,armée de l'air,NA,NA,force* aérienne*,armée* de l'air,air force*,CTA,
895,defence,armies,les armées,armées,NA,NA,NA,armée*,NA,arm*,CTA,
896,defence,army,armée,armée,NA,NA,NA,NA,NA,NA,CTA,
897,defence,atomic bomb,bombe atomique,NA,NA,NA,NA,bombe* atomique*,NA,atomic bomb*,CTA,
898,defence,bombing,bombardement,NA,NA,NA,NA,bombardement*,NA,bombing*,CTA,
899,defence,boots on the ground,bottes sur le sol,présence sur le terrain,NA,NA,NA,NA,NA,boot* on the ground,CTA,présence sur place
900,defence,canadian forces,forces canadiennes,NA,NA,NA,NA,NA,NA,NA,CTA,
901,defence,cf-35,cf-35,NA,NA,NA,NA,NA,NA,NA,CTA,
902,defence,f-35,f-35,NA,NA,NA,NA,NA,NA,NA,CTA,
903,defence,hmcs,hmcs,ncsm,NA,NA,NA,NA,NA,NA,CTA,
904,defence,hms,hms,nsm,NA,NA,NA,NA,NA,NA,CTA,
905,defence,homeland securit,Homeland Securit,sécurit intérieure,NA,NA,NA,sécurit* intérieure,NA,homeland securit*,CTA,
906,defence,intelligence agen,intelligence agen,agen de renseignement,NA,NA,NA,agen* de renseignement*,NA,intelligence agen*,CTA,agence de renseignement
907,defence,intelligence serv,service de renseignement,serv de renseignement,NA,NA,NA,serv* de renseignement*,NA,intelligence serv*,CTA,
908,defence,joint strike fighter,combattant de la frappe commune,joint strike fighter,NA,NA,NA,NA,NA,NA,CTA,
909,defence,militar,militaire,militair,NA,NA,NA,militair*,NA,militar*,CTA,
910,defence,missile,missile,NA,NA,NA,NA,missile*,NA,missile*,CTA,
911,defence,national defence,défense nationale,NA,NA,NA,NA,défense* nationale*,NA,national defence*,CTA,
912,defence,nato,nato,otan,NA,NA,NA,NA,NA,NA,CTA,
913,defence,naval,naval,NA,NA,NA,NA,nava*,NA,naval*,CTA,"nautique, maritime"
914,defence,navy,marine,NA,NA,NA,NA,NA,NA,NA,CTA,
915,defence,no fly zone,zone d'exclusion aérienne,NA,NA,NA,NA,zone* d'exclusion aérienne,NA,no fly zone*,CTA,
916,defence,no-fly zone,zone d'exclusion aérienne,x,NA,NA,NA,NA,NA,no-fly zone*,CTA,
917,defence,north atlantic treaty organization,Organisation du Traité de l'Atlantique N,organisation du traité de l'atlantique nord,NA,NA,NA,NA,NA,NA,CTA,
918,defence,nuclear bomb,bombe nucléaire,NA,NA,NA,NA,bombe* nucléaire*,NA,nuclear bomb*,CTA,
919,defence,soldier,soldat,NA,NA,NA,NA,soldat*,NA,soldier*,CTA,
920,defence,troop,troupe,NA,NA,NA,NA,troupe*,NA,troop*,CTA,
921,defence,war,guerre,NA,NA,NA,NA,guerre*,NA,war*,CTA,
922,defence,weapon,arme,NA,NA,NA,NA,arme*,NA,weapon*,CTA,
923,defence,mutual securit,sécurité mutuelle,sécurit mutuelle,NA,NA,NA,sécurit* mutuelle*,NA,mutual securit*,CTA,
924,defence,national securit,sécurité nationale,sécurit nationale,NA,NA,NA,sécurit* nationale*,NA,national securit*,CTA,
925,defence,espionage,espionnage,NA,NA,NA,NA,espionnage*,NA,espionage*,NF,
926,defence,counter-inelligen,contre-inelligen,contre-espionn,NA,NA,NA,contre-espionn*,NA,counter-intelligen*,NF,counter-intelligen
927,defence,arms control,contrôle des armements,contrôle des armes,NA,NA,NA,NA,NA,NA,NF,
928,defence,arms reduction,réduction des bras,réduction des armes,NA,NA,NA,NA,NA,NA,NF,
929,defence,nonproliferation,non-prolifération,NA,NA,NA,NA,non-prolifération*,NA,nonproliferation*,NF,
930,defence,non-proliferation,non-prolifération,x,NA,NA,NA,NA,NA,non-proliferation*,NF,
931,defence,antiproliferation,anti-prolifération,antiprolifération,NA,NA,NA,antiprolifération*,NA,antiproliferation*,NF,
932,defence,anti-proliferation,anti-prolifération,x,NA,NA,NA,NA,NA,anti-proliferation*,NF,
933,defence,proliferation,prolifération,NA,NA,NA,NA,prolifération*,NA,proliferation*,NF,
934,defence,nuclear disarmament,désarmement nucléaire,NA,NA,NA,NA,désarmement* nucléaire*,NA,nuclear disarmament*,NF,
935,defence,chemical disarmament,désarmement chimique,NA,NA,NA,NA,désarmement* chimique*,NA,chemical disarmament*,NF,
936,defence,conventional force,force conventionnelle,NA,NA,NA,NA,force* conventionnelle*,NA,conventional force*,NF,
937,defence,veteran,vétéran,NA,NA,NA,NA,vétéran*,NA,veteran*,NF,
938,defence,conscript,conscrit,NA,recrue,NA,NA,conscrit*,recrue*,conscript*,NF,
939,defence,the draft,ébauche,conscription,NA,NA,NA,conscription*,NA,NA,NF,
940,defence,peacekeep,maintien de la paix,maint de la paix,NA,NA,NA,maint* de la paix,NA,peacekeep*,NF,
941,defence,enriched uranium,uranium enrichi,NA,NA,NA,NA,uranium* enrichi*,NA,NA,NF,
942,defence,wmd,wmd,adm,NA,NA,NA,NA,NA,NA,NF,
943,sstc,broadcast,diffuser,NA,diffusion,transmettre,transmission,diffus*,transm*,broadcast*,NF,"télédiffusion, radiodiffusion"
944,sstc,canadarm,bras canadien,NA,NA,NA,NA,NA,NA,NA,NF,
945,sstc,canadian content,contenu canadien,NA,NA,NA,NA,contenu* canadien*,NA,canadian content*,NF,
946,sstc,cbc,cbc,src,radio-canada,NA,NA,NA,NA,NA,NF,
947,sstc,communications,les communications,communications,NA,NA,NA,NA,NA,NA,NF,communication
948,sstc,computer,ordinateur,NA,informatique,NA,NA,ordinateur*,informatique*,computer*,NF,
949,sstc,crtc,crtc,NA,NA,NA,NA,NA,NA,NA,NF,
950,sstc,hurricane forecast,prévision d'ouragan,NA,bulletin d'ouragan,NA,NA,prévision* cyclonique*,bulletin* d'ouragan*,hurricane* forecast*,NF,
951,sstc,hurricane warning,averissement d'ouragan,avertissement d'ouragan,alerte d'ouragan,NA,NA,avertissement* d'ouragan*,alerte* d'ouragan*,hurricane* warning*,NF,
952,sstc,internet,l'Internet,internet,NA,NA,NA,internet*,NA,NA,NF,
953,sstc,long distance,longue distance,NA,NA,NA,NA,longue* distance*,NA,long distance*,NF,
954,sstc,meteorolog,météorologiste,météorolog,NA,NA,NA,météorolog*,NA,meteorolog*,NF,
955,sstc,nasa,nasa,NA,NA,NA,NA,NA,NA,NA,NF,
956,sstc,nrcc,nrcc,NA,NA,NA,NA,NA,NA,NA,NF,
957,sstc,nserc,nserc,crsng,NA,NA,NA,NA,NA,NA,NF,
958,sstc,radio,radio,NA,NA,NA,NA,radio*,NA,radio*,NF,
959,sstc,robotic,robotique,NA,NA,NA,NA,robotique*,NA,robotic*,NF,
960,sstc,satellite,satellite,NA,NA,NA,NA,satellite*,NA,satellite*,NF,
961,sstc,scienc,scienc,NA,NA,NA,NA,scienc*,NA,scienc*,NF,
962,sstc,scient,scientifique,scient,NA,NA,NA,scient*,NA,scient*,NF,
963,sstc,semiconduct,semi-conducteur,semi-conduct,NA,NA,NA,semi-conduct*,NA,semiconduct*,NF,
964,sstc,space agenc,espace agenc,agence spatiale,NA,NA,NA,agence* spatiale*,NA,space agenc*,NF,
965,sstc,space launch,lancement spatial,NA,NA,NA,NA,lancement* spatia*,NA,space launch*,NF,
966,sstc,space polic,politique spatiale,polit spatial,NA,NA,NA,polit* spatial*,NA,space polic*,NF,
967,sstc,superconduct,supraconducteur,supraconduct,NA,NA,NA,supraconduct*,NA,superconduct*,NF,
968,sstc,technolog,technolog,NA,NA,NA,NA,technolog*,NA,technolog*,NF,
969,sstc,telecom,télécom,NA,NA,NA,NA,télécom*,NA,telecom*,NF,
970,sstc,telephone,téléphone,NA,NA,NA,NA,téléphone*,NA,telephone*,NF,téléphonique
971,sstc,television,télévision,NA,NA,NA,NA,télévis*,NA,televis*,NF,
972,sstc,tornado forecast,prévision de tornade,NA,NA,NA,NA,prévision* de tornade*,NA,tornado* forecast*,NF,
973,sstc,tornado warning,avertissement de tornade,NA,alerte de tornade,NA,NA,avertissement* de tornade*,alerte* de tornade*,tornado* warning*,NF,
974,sstc,tv,la télé,télé,tv,NA,NA,télé*,NA,tv*,NF,
975,sstc,weather forecast,prévisions météorologiques,prévision météorologique,NA,NA,NA,prévision* météorologique*,NA,weather forecast*,NF,
976,sstc,weather service,service météo,NA,NA,NA,NA,service* météo*,NA,weather service*,NF,
977,sstc,weather warning,alerte météo,NA,avertissement météo,NA,NA,alerte* météo*,avertissement* météo*,weather warning*,NF,
978,sstc,astronomy,astronomie,NA,NA,NA,NA,astronomie*,NA,astronom*,NF,
979,sstc,astronaut,astronaute,NA,NA,NA,NA,astronaute*,NA,astronaut*,NF,
980,sstc,cosmonaut,cosmonaute,NA,NA,NA,NA,cosmonaute*,NA,cosmonaut*,NF,
981,sstc,taikonaut,taikonaute,NA,NA,NA,NA,taikonaute*,NA,taikonaut*,NF,
982,sstc,european space agency,agence spatiale européenne,NA,NA,NA,NA,NA,NA,NA,NF,
983,foreign_trade,balance of payments,balance des paiements,NA,NA,NA,NA,balance de* paiement*,NA,balance of payment*,NF,
984,foreign_trade,capital controls,contrôle des capitaux,NA,NA,NA,NA,contrôle d* capita*,NA,capital control*,NF,
985,foreign_trade,currency,devise,NA,unité monétaire,monnaie,NA,devise*,unité* monétaire*,currenc*,NF,
986,foreign_trade,exchange rate,taux de change,NA,NA,NA,NA,NA,NA,exchange rate*,NF,
987,foreign_trade,export,export,NA,NA,NA,NA,export*,NA,export*,NF,
988,foreign_trade,foreign exchange,change,opération de change,NA,NA,NA,opération* de change,NA,foreign exchange*,NF,
989,foreign_trade,nafta,nafta,alena,NA,NA,NA,NA,NA,NA,NF,
990,foreign_trade,importat,import,importat,NA,NA,NA,importat*,NA,importat*,NF,
991,foreign_trade,tariff,tarif,NA,NA,NA,NA,tarif*,NA,tariff*,NF,
992,foreign_trade,foreign trade,commerce extérieur,NA,NA,NA,NA,NA,NA,NA,NF,
993,foreign_trade,free trade,libre échange,NA,NA,NA,NA,NA,NA,NA,NF,
994,foreign_trade,fair trade,commerce équitable,NA,NA,NA,NA,NA,NA,NA,NF,
995,foreign_trade,free-trade,libre échange,libre-échange,NA,NA,NA,NA,NA,NA,NF,
996,foreign_trade,fair-trade,commerce équitable,x,NA,NA,NA,NA,NA,NA,NF,
997,foreign_trade,international trade,échange international,NA,NA,NA,NA,échange* internationa*,NA,NA,NF,
998,foreign_trade,international invest,invest international,NA,NA,NA,NA,invest* internationa*,NA,international invest*,NF,
999,foreign_trade,foreign invest,invest étranger,NA,NA,NA,NA,invest* étranger*,NA,foreign invest*,NF,
1000,foreign_trade,foreign direct invest,invest direct étranger,NA,NA,NA,NA,invest* direct* étranger*,NA,foreign direct invest*,NF,
1001,foreign_trade,trade mission,mission commerciale,NA,NA,NA,NA,mission* commerciale*,NA,trade mission*,NF,
1002,foreign_trade,world trade organization,l'organisation de commerce mondial,x,NA,NA,NA,NA,NA,NA,NF,
1003,foreign_trade,world trade organisation,organisation mondiale du commerce,NA,NA,NA,NA,NA,NA,NA,NF,
1004,foreign_trade,wto,l'omc,omc,NA,NA,NA,NA,NA,NA,NF,
1005,foreign_trade,trade agreement,accord commercial,NA,NA,NA,NA,accord* commercia*,NA,trade agreement*,NF,
1006,foreign_trade,embargo,embargo,NA,NA,NA,NA,embargo*,NA,embargo*,NF,
1007,foreign_trade,protectionis,protectionis,NA,NA,NA,NA,protectionis*,NA,protectionis*,NF,
1008,foreign_trade,trade conflict,conflit commercial,NA,NA,NA,NA,conflit* commercia*,NA,trade conflict*,NF,
1009,foreign_trade,trade disagreement,désaccord commercial,NA,mésentente commerciale,contentieux commerciaux,NA,désaccord* commercia*,NA,trade disagreement*,NF,
1010,foreign_trade,trade war,guerre commerciale,NA,NA,NA,NA,guerre* commerciale*,NA,trade war*,NF,
1011,foreign_trade,trade dispute,différend commercial,NA,litige commercial,NA,NA,différend* commercia*,litige* commercia*,trade dispute*,NF,
1012,intl_affairs,al-qaeda,al-quaïda,al-qaïda,NA,NA,NA,NA,NA,NA,NF,
1013,intl_affairs,al-qaida,al-qaida,NA,NA,NA,NA,NA,NA,NA,NF,
1014,intl_affairs,hamas,hamas,NA,NA,NA,NA,NA,NA,NA,NF,
1015,intl_affairs,hizbullah,le hezbollah,x,NA,NA,NA,NA,NA,NA,NF,
1016,intl_affairs,hezbollah,hezbollah,NA,NA,NA,NA,NA,NA,NA,NF,
1017,intl_affairs,genocid,génocidaire,génocid,NA,NA,NA,génocid*,NA,genocid*,NF,
1018,intl_affairs,global,global,NA,NA,NA,NA,globa*,NA,global*,NF,
1019,intl_affairs,ambassador,ambassadeur,NA,NA,NA,NA,ambassad*,NA,ambassador*,NF,
1020,intl_affairs,commonwealth of nations,Commonwealth des nations,commonwealth,NA,NA,NA,NA,NA,NA,NF,
1021,intl_affairs,consulate,consulat,NA,NA,NA,NA,consulat*,NA,consulate*,NF,consul
1022,intl_affairs,diplomacy,diplomatie,NA,NA,NA,NA,diplomatie*,NA,diplomac*,NF,
1023,intl_affairs,diplomat,diplomat,NA,NA,NA,NA,diplomat*,NA,diplomat*,NF,
1024,intl_affairs,embass,ambass,NA,NA,NA,NA,ambass*,NA,embass*,NF,
1025,intl_affairs,foreign affair,affaire étrangère,NA,NA,NA,NA,affaire* étrangère*,NA,foreign affair*,NF,
1026,intl_affairs,foreign aid,l'aide étrangère,aide étrangère,NA,NA,NA,aide* étrangère*,NA,NA,NF,
1027,intl_affairs,foreign polic,police étrangère,polit étrangère,NA,NA,NA,polit* étrangère*,NA,foreign polic*,NF,
1028,intl_affairs,foreign service,service extérieur,NA,fournisseur étranger de service,NA,NA,service* extérieur*,fournisseur* étranger* de service*,foreign service*,NF,
1029,intl_affairs,francophonie,la Francophonie,francophonie,NA,NA,NA,NA,NA,NA,NF,
1030,intl_affairs,g20,g20,NA,NA,NA,NA,NA,NA,NA,NF,
1031,intl_affairs,g8,g8,NA,NA,NA,NA,NA,NA,NA,NF,
1032,intl_affairs,group of 20,groupe de 20,groupe des 20,NA,NA,NA,NA,NA,NA,NF,
1033,intl_affairs,group of 8,groupe de 8,groupe des 8,NA,NA,NA,NA,NA,NA,NF,
1034,intl_affairs,group of eight,groupe de huit,groupe des huit,NA,NA,NA,NA,NA,NA,NF,
1035,intl_affairs,group of twenty,groupe de vingt,groupe des vingt,NA,NA,NA,NA,NA,NA,NF,
1036,intl_affairs,high commissioner,haut-commissaire,NA,haut-commissariat,haut commissariat,haut commissaire,haut* commissaire*,NA,high commissioner*,NF,
1037,intl_affairs,international affair,affaire internationale,NA,NA,NA,NA,affaire* internationale*,NA,international affair*,NF,
1038,intl_affairs,international aid,aide internationale,NA,NA,NA,NA,aide* internationale*,NA,NA,NF,
1039,intl_affairs,international health assistance,assistance sanitaire internationale,NA,aide internationale à la santé,NA,NA,assistance* sanitaire* internationale*,aide* internationale* à la santé,international health assistance*,NF,
1040,intl_affairs,international disaster assistance,assistance internationale en cas de catastrophe,NA,aide internationale en cas de catastrophe,NA,NA,assistance* internationale* en cas de catastrophe*,NA,international disaster assistance*z,NF,
1041,intl_affairs,international disaster relief,secours international aux sinistrés,NA,opérations internationales de secours,efforts internationaux de secours aux sinistrés,NA,secour* international aux sinistrés,opération* internationale* de secour*,international disaster relief*,NF,
1042,intl_affairs,organization of american states,organisation des états américains,NA,NA,NA,NA,NA,NA,NA,NF,
1043,intl_affairs,r2p,r2p,NA,NA,NA,NA,NA,NA,NA,NF,
1044,intl_affairs,responsibility to protect,responsabilité de protéger,NA,NA,NA,NA,NA,NA,NA,NF,
1045,intl_affairs,un security council,conseil de sécurité de l'ONU,conseil de sécurité de l'onu,NA,NA,NA,NA,NA,NA,NF,
1046,intl_affairs,united nations,Les Nations Unies,nations unies,NA,NA,NA,NA,NA,NA,NF,
1047,intl_affairs,international whal,whal international,commission internationale de la chasse à la baleine,NA,NA,NA,NA,NA,NA,NF,
1048,intl_affairs,global aid,aide globale,NA,NA,NA,NA,aide* globale*,NA,NA,NF,
1049,intl_affairs,global hunger,la faim dans le monde,famine mondiale,crise alimentaire mondiale,NA,NA,famine* mondiale*,crise* alimentaire* mondiale*,NA,NF,
1050,intl_affairs,world population,population mondiale,NA,NA,NA,NA,NA,NA,NA,NF,
1051,intl_affairs,international monetary,monétaire international,fonds monétaire international,NA,NA,NA,fond* monétaire* internationa*,NA,NA,NF,
1052,intl_affairs,imf,imf,fmi,NA,NA,NA,NA,NA,NA,NF,
1053,intl_affairs,world bank,Banque mondiale,banque mondiale,NA,NA,NA,NA,NA,NA,NF,
1054,intl_affairs,unesco,l'unesco,unesco,NA,NA,NA,NA,NA,NA,NF,
1055,intl_affairs,ecosoc,ecosoc,cesnu,NA,NA,NA,NA,NA,NA,NF,
1056,intl_affairs,international red cross,croix rouge internationale,croix-rouge,croix rouge,NA,NA,NA,NA,NA,NF,
1057,intl_affairs,doctors without borders,médecins sans frontières,NA,NA,NA,NA,NA,NA,NA,NF,
1058,intl_affairs,peacekeep,maintien de la paix,NA,NA,NA,NA,NA,NA,peacekeep*,NF,
1059,intl_affairs,terroris,les terroristes,terroris,NA,NA,NA,terroris*,NA,terroris*,NF,
1060,intl_affairs,passport,passeport,NA,NA,NA,NA,passeport*,NA,passport*,NF,
1061,intl_affairs,irish republican army,Armée républicaine irlandaise,armée républicaine irlandaise,NA,NA,NA,NA,NA,NA,NF,
1062,intl_affairs,amnesty international,Amnesty International,amnistie internationale,NA,NA,NA,NA,NA,NA,NF,
1063,intl_affairs,oecd,ocde,NA,NA,NA,NA,NA,NA,NA,NF,
1064,intl_affairs,schengen,schengen,NA,NA,NA,NA,NA,NA,NA,NF,
1065,intl_affairs,humanitarian aid,aide humanitaire,NA,NA,NA,NA,NA,aide* humanitaire*,humanitarian aid*,NF,
1066,intl_affairs,bilateral aid,aide bilatérale,NA,NA,NA,NA,NA,aide* bilatérale*,bilateral aid*,NF,
1067,intl_affairs,NA,ue,x,NA,NA,NA,NA,NA,NA,NF,
1068,intl_affairs,european union,union européenne,NA,NA,NA,NA,NA,NA,NA,NF,
1069,government_ops,auditor general,vérificateur général,NA,NA,NA,NA,vérificat* généra*,NA,auditor* general,NF,
1070,government_ops,campaign ad,annonce de campagne,publicité de campagne,NA,NA,NA,publicité* de campagne*,NA,campaign ad*,NF,
1071,government_ops,campaign ads,annonces de campagne,publicités de campagne,NA,NA,NA,publicité* de campagne*,NA,campaign ad*,NF,
1072,government_ops,campaign adverti,campagne publicit,NA,NA,NA,NA,campagne* publicit*,NA,campaign adverti*,NF,
1073,government_ops,campaign finance,financement de campagne,NA,NA,NA,NA,financement* de* campagne*,NA,campaign financ*,NF,
1074,government_ops,campaign reform,réforme de la campagne,réforme de campagne,NA,NA,NA,réforme* de* campagne*,NA,campaign reform*,NF,
1075,government_ops,campaign regulation,règlement de campagne,NA,régulation de campagne,NA,NA,règlement* de* campagne*,régulation* de* campagne*,campaign regulation*,NF,
1076,government_ops,canada post,poste canada,postes canada,NA,NA,NA,NA,NA,NA,NF,
1077,government_ops,canadian mint,menthe canadienne,monnaie royale canadienne,NA,NA,NA,NA,NA,NA,NF,
1078,government_ops,census,recensement,NA,NA,NA,NA,recensement*,NA,census*,NF,
1079,government_ops,civil service,service civil,fonction publique,NA,NA,NA,fonction* publique*,NA,civil service*,NF,
1080,government_ops,crown corporation,société d'État,NA,société de la couronne,NA,NA,société* d'État,NA,crown corporation*,NF,
1081,government_ops,commemerative,commemerative,commémoratif,NA,NA,NA,commémorati*,NA,commemerative*,NF,
1082,government_ops,currency,devise,NA,NA,NA,NA,devise*,NA,currenc*,NF,
1083,government_ops,conflict of interest,conflit d'intérêt,NA,NA,NA,NA,conflit* d'intérêt*,NA,conflict* of interest*,NF,
